埼죗낀똑		頓契珂쇌
1		0취

2		0취

3		0취

4		0취

5		0취

6		0취

7		0취

8		0취

9		0취

10		0취

20		0취

30		0취

40		0취

50		0취

60		0취

70		0취

80		0취

90		0.001취

100		0취

200		0.001취

300		0.001취

400		0.002취

500		0.003취

600		0.004취

700		0.004취

800		0.007취

900		0.006취

1000		0.009취

2000		0.032취

3000		0.091취

4000		0.147취

5000		0.207취

6000		0.319취

7000		0.425취

8000		0.548취

9000		0.831취

10000		0.89취



